"","Year","Month","Day","Sentiment","Count","Avg_Per"
"486","2020",7,1,"positive",380382,0.102173609125
"487","2020",7,2,"negative",1697218,0.471158560708333
"488","2020",7,2,"neutral",1583988,0.4397218505
"489","2020",7,2,"positive",323262,0.0891195887916667
"490","2020",7,3,"negative",1682233,0.46199718075
"491","2020",7,3,"neutral",1569324,0.433878163083333
"492","2020",7,3,"positive",381075,0.104124656083333
"493","2020",7,4,"negative",1636422,0.472370742833333
"494","2020",7,4,"neutral",1416034,0.410919242666667
"495","2020",7,4,"positive",404988,0.116710014666667
"496","2020",7,5,"negative",1653266,0.484968791041667
"497","2020",7,5,"neutral",1428911,0.422294672958333
"498","2020",7,5,"positive",308958,0.0927365360416667
"499","2020",7,6,"negative",1808494,0.484595229916667
"500","2020",7,6,"neutral",1624526,0.438197415208333
"501","2020",7,6,"positive",284400,0.07720735475
"502","2020",7,7,"negative",1618622,0.460727715
"503","2020",7,7,"neutral",1642469,0.464991467791667
"504","2020",7,7,"positive",260154,0.0742808172083333
"505","2020",7,8,"negative",1641766,0.45233808475
"506","2020",7,8,"neutral",1691603,0.467733637833333
"507","2020",7,8,"positive",289676,0.0799282774583333
"508","2020",7,9,"negative",1555942,0.450746999666667
"509","2020",7,9,"neutral",1611279,0.467160039375
"510","2020",7,9,"positive",283799,0.0820929608333333
"511","2020",7,10,"negative",1612422,0.495094759083333
"512","2020",7,10,"neutral",1362093,0.417572526875
"513","2020",7,10,"positive",289704,0.0873327140416667
"514","2020",7,11,"negative",1470493,0.463031955375
"515","2020",7,11,"neutral",1328274,0.436133978166667
"516","2020",7,11,"positive",316961,0.100834066583333
"517","2020",7,12,"negative",1285886,0.45188260275
"518","2020",7,12,"neutral",1241469,0.435524229416667
"519","2020",7,12,"positive",317844,0.112593167708333
"520","2020",7,13,"negative",1841312,0.458565732166667
"521","2020",7,13,"neutral",1764618,0.443403596916667
"522","2020",7,13,"positive",385187,0.098030670875
"523","2020",7,14,"negative",1742244,0.468496832083333
"524","2020",7,14,"neutral",1691137,0.45410547025
"525","2020",7,14,"positive",287513,0.0773976976666667
"526","2020",7,15,"negative",1996229,0.499907867083333
"527","2020",7,15,"neutral",1697182,0.42655775725
"528","2020",7,15,"positive",290065,0.0735343757916667
"529","2020",7,16,"negative",1977195,0.510158922166667
"530","2020",7,16,"neutral",1650048,0.426212961833333
"531","2020",7,16,"positive",244262,0.063628116
"532","2020",7,17,"negative",1923943,0.500872709208333
"533","2020",7,17,"neutral",1649018,0.430188426541667
"534","2020",7,17,"positive",263648,0.0689388641666667
"535","2020",7,18,"negative",1621635,0.467100915541667
"536","2020",7,18,"neutral",1529013,0.443949719916667
"537","2020",7,18,"positive",305081,0.0889493645
"538","2020",7,19,"negative",1682374,0.481884702458333
"539","2020",7,19,"neutral",1475774,0.424256122166667
"540","2020",7,19,"positive",324834,0.0938591754583333
"541","2020",7,20,"negative",1530898,0.4724728095
"542","2020",7,20,"neutral",1420748,0.437497286
